,date,day,filename,flag,id,keywords,link,month,place,publisher,year
5664,2018/01/02,02,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-02T10:49:57+05:30->1273.txt,0,1273,[],http://timesofindia.indiatimes.com//sports/tennis/top-stories/time-clock-is-a-must-says-cilic/articleshow/62333771.cms,01,pune,TOI,2018
5665,2018/01/29,29,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-29T09:10:37+05:30->20948.txt,0,20948,[],http://timesofindia.indiatimes.com//city/visakhapatnam/officials-burn-14000-kg-ganja/articleshow/62689304.cms,01,NA,TOI,2018
5666,2018/01/02,02,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-02T07:46:55+05:30->1146.txt,0,1146,[],http://timesofindia.indiatimes.com//city/chandigarh/hc-upholds-haryana-rules-for-promotion-of-tgts-in-state-run-schools/articleshow/62330215.cms,01,chandigarh,TOI,2018
5667,2018/01/30,30,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-30T04:41:55+05:30->21429.txt,0,21429,[],http://timesofindia.indiatimes.com//city/chandigarh/hc-stays-process-to-elect-narwana-mc-chief-deputy/articleshow/62701720.cms,01,chandigarh,TOI,2018
5668,2018/01/22,22,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-22T06:02:29+05:30->15527.txt,0,15527,[],http://timesofindia.indiatimes.com//city/chennai/madras-varsity-to-host-uk-students-this-year/articleshow/62599389.cms,01,chennai,TOI,2018
5669,2018/01/22,22,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-22T07:36:53+05:30->15563.txt,0,15563,[],http://timesofindia.indiatimes.com//city/chennai/man-injured-as-box-found-on-playground-explodes/articleshow/62596828.cms,01,chennai,TOI,2018
5670,2018/01/22,22,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-22T13:09:49+05:30->15539.txt,0,15539,[],http://timesofindia.indiatimes.com//city/trichy/bu-controller-of-exam-yet-to-get-govt-nod-to-join/articleshow/62596759.cms,01,trichy,TOI,2018
5671,2018/02/01,01,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-02-01T12:43:31+05:30->22853.txt,0,22853,[],http://timesofindia.indiatimes.com//city/jaipur/lokayukta-finds-loopholes-in-land-building-approval-cases/articleshow/62731604.cms,02,jaipur,TOI,2018
5672,2018/02/01,01,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-02-01T09:26:43+05:30->22858.txt,0,22858,[],http://timesofindia.indiatimes.com//city/delhi/training-units-at-jamia-making-students-self-reliant/articleshow/62725227.cms,02,NA,TOI,2018
5673,2018/01/02,02,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-02T08:52:50+05:30->825.txt,0,825,[],http://timesofindia.indiatimes.com//city/pune/at-10-6c-monday-second-coldest-january-1-in-past-8-years-in-pune/articleshow/62330214.cms,01,pune,TOI,2018
